full_size,compressed,compression_t,decompression_t,res_type,sample_id,tissue,ratio
10566779377,1383997045,51.69,46.44,bus,GSM4213835,lung,7.634972498803276
9029470673,1227427529,46.82,25.55,bus,GSM4213836,lung,7.356418574346641
8151007441,960554597,33.31,23.43,bus,GSM4080085,lung,8.48573050033511
7975082801,960421517,34.12,23,bus,GSM4213831,lung,8.303731913369866
7867318993,869240565,35.33,20.63,bus,ERS3861774,liver,9.050795958883949
6819876849,804946009,37.31,26.3,bus,GSM4080086,lung,8.472464951372906
6558625713,823773473,36.45,24.53,bus,ERS3861788,liver,7.961685982816298
6307464433,731089757,30.29,21.34,bus,GSM3735994,prostate,8.627482976758488
6250754513,714041153,29.81,21.45,bus,ERS3861844,liver,8.75405358183886
6207672785,713032457,29.19,20.15,bus,ERS3861798,liver,8.706017130157091
6104657073,712505657,29.96,23.5,bus,ERS3861790,liver,8.567871725683716
6002901585,689524065,28.43,19.25,bus,ERS3861807,liver,8.705862332738162
5936538289,683828661,28.68,19.27,bus,ERS3861810,liver,8.681324178952481
5877956209,694715129,30.53,20.33,bus,ERS3861787,liver,8.460958979633794
5821082161,671700793,27.74,21.45,bus,ERS3861808,liver,8.66618324954099
5781539793,673563985,28.59,19.14,bus,ERS3861821,liver,8.5835049405143
5759692849,672838161,27.79,19.48,bus,GSM3439920,lung,8.560294559452016
5759513937,669995805,28.91,24.66,bus,ERS3861792,liver,8.596343281582188
5698326961,655277889,22.54,15.82,bus,ERS3861796,liver,8.696046450912675
5680479889,663910365,29.09,25,bus,ERS3861820,liver,8.556094600210075
5584262065,649181657,22.42,19.03,bus,ERS3861842,liver,8.602002235870321
5544020465,651886093,28.61,24.38,bus,GSM2905293,brain,8.50458465755305
5542860689,620371805,21.13,15.2,bus,ERS3861778,liver,8.934739851692648
5431232209,648049825,27.34,18.78,bus,GSM2905291,brain,8.380886776722763
5367571953,623885793,27.2,17.61,bus,ERX2756733,placenta,8.603452768478093
5176002257,587547169,25.28,17.76,bus,ERS3861838,liver,8.809509312774852
5162679377,582697389,20.48,13.94,bus,ERS3861839,liver,8.859966552896292
5157215185,611009981,21.84,14.29,bus,ERS3861849,liver,8.440476171206768
5125925233,615960429,21.22,14.27,bus,GSM3516948,mammary,8.321841780196566
4956475505,568268053,24.56,17.12,bus,ERX2756735,placenta,8.72207311115552
4951964273,558496485,19.44,13.06,bus,ERS3861848,liver,8.866598816642508
4846211985,547029537,19.32,13.48,bus,ERS3861850,liver,8.859141339199752
4767318769,521432697,17.1,12.33,bus,ERS3861783,liver,9.142730780843227
4551396849,536562017,19.2,12.78,bus,ERX2756731,placenta,8.482517779487175
4543519825,534996801,18.8,12.77,bus,ERX2756732,placenta,8.49261120161352
4526652689,534924785,21.88,15.08,bus,GSM2928383,testis,8.462222757167627
4511279473,526865345,18.87,16.96,bus,ERS3861825,liver,8.562490427226713
4506158865,558008953,20.21,13.09,bus,CRX118016,blood,8.075423952919982
4461736017,536477045,23.22,15.62,bus,GSM4475048,lung,8.316732390665475
4399376625,518786273,18.36,12.62,bus,ERS3861817,skin,8.480133060498307
4333245649,500334321,19.49,13.85,bus,ERS3861846,liver,8.66070038996985
4302888945,507336437,18.49,11.97,bus,GSM4486714,testis,8.48133236880047
4299496849,520207869,19.11,13.21,bus,GSM3755698,peritoneal,8.264959269579984
4279350449,532923845,19.53,15.03,bus,GSM2894835,lung,8.029947410215806
4223108881,512463377,17.49,14.32,bus,GSM3439921,lung,8.240801334375158
4215778225,510200513,22.81,16.7,bus,ERS3861800,liver,8.262983116600669
4201760529,485050993,20.89,22.17,bus,GSM4486716,testis,8.66251299273188
4196488945,505388973,22.65,16.54,bus,ERS3861819,liver,8.303483394363651
4160762033,493867189,18.07,11.96,bus,ERS3861822,liver,8.424860216822381
4149829873,506811813,18.38,12.13,bus,GSM2928382,testis,8.188108024624912
